[2025-04-15 10:51:10] User: milica, Action: KEY, Details: Published signed public key for milica
[2025-04-15 10:51:20] User: milica, Action: DELETE, Details: Deleted: 08_Digitalni_sertifikati_i_PKI_II_dio.pdf_ana_to_milica.enc
[2025-04-15 10:52:33] User: lola5, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid certificate path
[2025-04-15 10:52:46] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:53:12] User: lola5, Action: UPLOAD, Details: Uploaded file: Figure_1.png
[2025-04-15 10:53:22] User: lola5, Action: SHARE, Details: Shared file: Figure_1.png with masa3
[2025-04-15 10:54:13] User: masa3, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:57:33] User: milica, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:04:18] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:04:31] User: lola5, Action: KEY, Details: Verified existing signed public key for lola5
[2025-04-15 11:04:35] User: lola5, Action: SIGN, Details: Signed file users/lola5/Figure_1.png.shared.enc for lola5
[2025-04-15 11:04:35] User: lola5, Action: SHARE, Details: Shared file: Figure_1.png with ana
[2025-04-15 11:04:59] User: ana, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:10:06] User: luka, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:10:27] User: luka, Action: SIGN, Details: Signed file /Users/milanaivankovic/Downloads/mvi/211.png for luka
[2025-04-15 11:10:27] User: luka, Action: UPLOAD, Details: Uploaded file: 211.png
[2025-04-15 11:10:32] User: luka, Action: KEY, Details: Verified existing signed public key for luka
[2025-04-15 11:10:33] User: luka, Action: KEY, Details: Verified existing signed public key for luka
[2025-04-15 11:10:33] User: luka, Action: KEY, Details: Verified existing signed public key for luka
[2025-04-15 11:10:33] User: luka, Action: KEY, Details: Verified existing signed public key for luka
[2025-04-15 11:10:34] User: luka, Action: KEY, Details: Verified existing signed public key for luka
